"class_code","group"
"G06F  17/30794","CPC1"
"G06F  17/30795","CPC1"
"G06F  17/30796","CPC1"
"G06F  17/30797","CPC1"
"G06F  17/30798","CPC1"
"G06F  17/30799","CPC1"
"G06F  17/3080","CPC1"
"G06F  17/30801","CPC1"
"G06F  17/30802","CPC1"
"G06F  17/30803","CPC1"
"G06F  17/30804","CPC1"
"G06F  17/30805","CPC1"
"G06F  17/30806","CPC1"
"G06F  17/30807","CPC1"
"G06F  17/30808","CPC1"
"G06F  17/30809","CPC1"
"G06F  17/3081","CPC1"
"G06F  17/30811","CPC1"
"G06F  17/30812","CPC1"
"G06F  17/30813","CPC1"
"G06F  17/30814","CPC1"
"G01R  31/2846","CPC1"
"G01R  31/2847","CPC1"
"G01R  31/2848","CPC1"
"G06N   3/004","CPC1"
"G06N   3/005","CPC1"
"G06N   3/006","CPC1"
"G06N   3/007","CPC1"
"G06N   3/008","CPC1"
"H04N  21/4662","CPC1"
"H04N  21/4663","CPC1"
"H04N  21/4664","CPC1"
"H04N  21/4665","CPC1"
"A61B   5/7264","CPC1"
"A61B   5/7265","CPC1"
"A61B   5/7266","CPC1"
"B60W  30/1","CPC1"
"B60W  30/11","CPC1"
"B60W  30/12","CPC1"
"B60W  30/14","CPC1"
"B60W  30/15","CPC1"
"B60W  30/16","CPC1"
"B60W  30/17","CPC1"
"G06T2207/30248","CPC1"
"G06T2207/30249","CPC1"
"G06T2207/3025","CPC1"
"G06T2207/30251","CPC1"
"G06T2207/30252","CPC1"
"G06T2207/30253","CPC1"
"G06T2207/30254","CPC1"
"G06T2207/30255","CPC1"
"G06T2207/30256","CPC1"
"G06T2207/30257","CPC1"
"G06T2207/30258","CPC1"
"G06T2207/30259","CPC1"
"G06T2207/3026","CPC1"
"G06T2207/30261","CPC1"
"G06T2207/30262","CPC1"
"G06T2207/30263","CPC1"
"G06T2207/30264","CPC1"
"G06T2207/30265","CPC1"
"G06T2207/30266","CPC1"
"G06T2207/30267","CPC1"
"G06T2207/30268","CPC1"
"G06N   7/005","CPC1"
"G06N   7/006","CPC1"
"G06N   7/007","CPC1"
"G06N   7/008","CPC1"
"G06N   7/009","CPC1"
"G06N   7/01","CPC1"
"G06N   7/011","CPC1"
"G06N   7/012","CPC1"
"G06N   7/013","CPC1"
"G06N   7/014","CPC1"
"G06N   7/015","CPC1"
"G06N   7/016","CPC1"
"G06N   7/017","CPC1"
"G06N   7/018","CPC1"
"G06N   7/019","CPC1"
"G06N   7/02","CPC1"
"G06N   7/021","CPC1"
"G06N   7/022","CPC1"
"G06N   7/023","CPC1"
"G06N   7/024","CPC1"
"G06N   7/025","CPC1"
"G06N   7/026","CPC1"
"G06N   7/027","CPC1"
"G06N   7/028","CPC1"
"G06N   7/029","CPC1"
"G06N   7/03","CPC1"
"G06N   7/031","CPC1"
"G06N   7/032","CPC1"
"G06N   7/033","CPC1"
"G06N   7/034","CPC1"
"G06N   7/035","CPC1"
"G06N   7/036","CPC1"
"G06N   7/037","CPC1"
"G06N   7/038","CPC1"
"G06N   7/039","CPC1"
"G06N   7/04","CPC1"
"G06N   7/041","CPC1"
"G06N   7/042","CPC1"
"G06N   7/043","CPC1"
"G06N   7/044","CPC1"
"G06N   7/045","CPC1"
"G06N   7/047","CPC1"
"G06N   7/048","CPC1"
"G06N   7/049","CPC1"
"G06N   7/05","CPC1"
"G06N   7/051","CPC1"
"G06N   7/052","CPC1"
"G06N   7/053","CPC1"
"G06N   7/054","CPC1"
"G06N   7/055","CPC1"
"G06N   7/056","CPC1"
"G06N   7/057","CPC1"
"G06N   7/058","CPC1"
"G06N   7/059","CPC1"
"G06N   7/06","CPC1"
"G06F  17/270","CPC1"
"G06F  17/2701","CPC1"
"G06F  17/2702","CPC1"
"G06F  17/2703","CPC1"
"G06F  17/2704","CPC1"
"G06F  17/2705","CPC1"
"G06F  17/2706","CPC1"
"G06F  17/2707","CPC1"
"G06F  17/2708","CPC1"
"G06F  17/2709","CPC1"
"G06F  17/271","CPC1"
"G06F  17/2711","CPC1"
"G06F  17/2712","CPC1"
"G06F  17/2713","CPC1"
"G06F  17/2714","CPC1"
"G06F  17/2715","CPC1"
"G06F  17/2716","CPC1"
"G06F  17/2717","CPC1"
"G06F  17/2718","CPC1"
"G06F  17/2719","CPC1"
"G06F  17/272","CPC1"
"G06F  17/2721","CPC1"
"G06F  17/2722","CPC1"
"G06F  17/2723","CPC1"
"G06F  17/2724","CPC1"
"G06F  17/2725","CPC1"
"G06F  17/2726","CPC1"
"G06F  17/2727","CPC1"
"G06F  17/2728","CPC1"
"G06F  17/2729","CPC1"
"G06F  17/273","CPC1"
"G06F  17/2731","CPC1"
"G06F  17/2732","CPC1"
"G06F  17/2733","CPC1"
"G06F  17/2734","CPC1"
"G06F  17/2735","CPC1"
"G06F  17/2736","CPC1"
"G06F  17/2737","CPC1"
"G06F  17/2738","CPC1"
"G06F  17/2739","CPC1"
"G06F  17/274","CPC1"
"G06F  17/2741","CPC1"
